"","neighborhood","zone","population","crimes_total","rate","intercept","outlier_flag"
"1","Adair Park","3",1331,159,119.459053343351,39.8853061239381,"0"
"2","Adams Park","4",1763,84,47.6460578559274,39.8853061239381,"0"
"3","Adamsville","1",2403,96,39.9500624219725,39.8853061239381,"0"
"4","Adamsville","4",2403,103,42.863087806908,39.8853061239381,"0"
"5","Almond Park","1",1020,48,47.0588235294118,39.8853061239381,"0"
"6","Ansley Park","5",2277,60,26.3504611330698,39.8853061239381,"0"
"7","Ardmore","2",756,34,44.973544973545,39.8853061239381,"0"
"8","Argonne Forest","2",590,9,15.2542372881356,39.8853061239381,"0"
"9","Arlington Estates","4",776,21,27.0618556701031,39.8853061239381,"0"
"10","Ashview Heights","1",1292,126,97.5232198142415,39.8853061239381,"0"
"11","Atlanta University Center","1",5703,108,18.9374013677012,39.8853061239381,"0"
"12","Atlanta University Center","5",5703,2,0.350692617920393,39.8853061239381,"0"
"13","Atlantic Station","5",1888,196,103.813559322034,39.8853061239381,"0"
"14","Baker Hills","4",757,26,34.3461030383091,39.8853061239381,"0"
"15","Bankhead","1",1929,143,74.1316744427164,39.8853061239381,"0"
"16","Beecher Hills","4",647,12,18.5471406491499,39.8853061239381,"0"
"17","Ben Hill","4",1725,34,19.7101449275362,39.8853061239381,"0"
"18","Ben Hill Terrace","4",937,29,30.9498399146211,39.8853061239381,"0"
"19","Benteen Park","6",893,34,38.0739081746921,39.8853061239381,"0"
"20","Berkeley Park","2",1400,304,217.142857142857,39.8853061239381,"1"
"21","Betmar LaVilla","3",578,46,79.5847750865052,39.8853061239381,"0"
"22","Bolton","2",2996,119,39.7196261682243,39.8853061239381,"0"
"23","Boulevard Heights","6",675,37,54.8148148148148,39.8853061239381,"0"
"24","Brandon","2",943,10,10.6044538706257,39.8853061239381,"0"
"25","Brookhaven","2",2358,11,4.66497031382528,39.8853061239381,"0"
"26","Brookwood","2",1834,33,17.9934569247546,39.8853061239381,"0"
"27","Brookwood Hills","2",2103,52,24.7265810746553,39.8853061239381,"0"
"28","Browns Mill Park","3",2170,136,62.6728110599078,39.8853061239381,"0"
"29","Buckhead Forest","2",2252,164,72.8241563055062,39.8853061239381,"0"
"30","Buckhead Village","2",1343,183,136.26209977662,39.8853061239381,"1"
"31","Buckhead Village","5",1343,1,0.744601638123604,39.8853061239381,"0"
"32","Cabbagetown","6",1247,46,36.8885324779471,39.8853061239381,"0"
"33","Campbellton Road","4",4709,193,40.9853472074751,39.8853061239381,"0"
"34","Candler Park","3",3291,1,0.303859009419629,39.8853061239381,"0"
"35","Candler Park","6",3291,143,43.451838347007,39.8853061239381,"0"
"36","Capitol Gateway","6",823,36,43.7424058323208,39.8853061239381,"0"
"37","Capitol View","3",1965,119,60.559796437659,39.8853061239381,"0"
"38","Capitol View Manor","3",664,23,34.6385542168675,39.8853061239381,"0"
"39","Carey Park","1",1739,92,52.9039677975848,39.8853061239381,"0"
"40","Carroll Heights","1",1173,40,34.1005967604433,39.8853061239381,"0"
"41","Carroll Heights","2",1173,1,0.852514919011083,39.8853061239381,"0"
"42","Carver Hills","1",681,26,38.1791483113069,39.8853061239381,"0"
"43","Cascade Avenue/Road","2",2416,1,0.413907284768212,39.8853061239381,"0"
"44","Cascade Avenue/Road","4",2416,122,50.4966887417219,39.8853061239381,"0"
"45","Cascade Heights","4",1124,91,80.9608540925267,39.8853061239381,"0"
"46","Castleberry Hill","3",1285,1,0.778210116731518,39.8853061239381,"0"
"47","Castleberry Hill","5",1285,286,222.568093385214,39.8853061239381,"1"
"48","Castlewood","2",741,6,8.09716599190283,39.8853061239381,"0"
"49","Center Hill","1",3058,194,63.4401569653368,39.8853061239381,"0"
"50","Center Hill","4",3058,1,0.327011118378025,39.8853061239381,"0"
"51","Chastain Park","2",2398,24,10.0083402835696,39.8853061239381,"0"
"52","Chosewood Park","3",3790,85,22.4274406332454,39.8853061239381,"0"
"53","Collier Heights","1",5593,240,42.9107813338101,39.8853061239381,"0"
"54","Collier Heights","4",5593,1,0.178794922224209,39.8853061239381,"0"
"55","Collier Hills","2",630,12,19.0476190476191,39.8853061239381,"0"
"56","Cross Creek","2",2041,20,9.79911807937286,39.8853061239381,"0"
"57","Custer/McDonough/Guice","3",1257,1,0.795544948289578,39.8853061239381,"0"
"58","Custer/McDonough/Guice","6",1257,83,66.030230708035,39.8853061239381,"0"
"59","Deerwood","4",566,20,35.3356890459364,39.8853061239381,"0"
"60","Dixie Hills","1",1756,109,62.0728929384966,39.8853061239381,"0"
"61","Downtown","1",13411,6,0.447393930355678,39.8853061239381,"0"
"62","Downtown","3",13411,1,0.0745656550592797,39.8853061239381,"0"
"63","Downtown","4",13411,1,0.0745656550592797,39.8853061239381,"0"
"64","Downtown","5",13411,1727,128.774886287376,39.8853061239381,"1"
"65","Druid Hills","6",1414,30,21.2164073550212,39.8853061239381,"0"
"66","East Atlanta","3",5033,1,0.198688654877806,39.8853061239381,"0"
"67","East Atlanta","6",5033,288,57.2223326048083,39.8853061239381,"0"
"68","East Chastain Park","2",2065,34,16.4648910411622,39.8853061239381,"0"
"69","East Chastain Park","5",2065,2,0.968523002421308,39.8853061239381,"0"
"70","East Lake","6",2568,149,58.0218068535826,39.8853061239381,"0"
"71","Edgewood","6",3983,426,106.954556866683,39.8853061239381,"0"
"72","English Avenue","1",3309,261,78.8757932910245,39.8853061239381,"0"
"73","English Avenue","3",3309,1,0.302206104563312,39.8853061239381,"0"
"74","English Avenue","4",3309,1,0.302206104563312,39.8853061239381,"0"
"75","English Avenue","5",3309,3,0.906618313689937,39.8853061239381,"0"
"76","Fairburn Heights","1",1138,49,43.0579964850615,39.8853061239381,"0"
"77","Fairburn Mays","4",3144,108,34.3511450381679,39.8853061239381,"0"
"78","Fairway Acres","4",513,5,9.74658869395711,39.8853061239381,"0"
"79","Florida Heights","1",1242,63,50.7246376811594,39.8853061239381,"0"
"80","Florida Heights","4",1242,31,24.9597423510467,39.8853061239381,"0"
"81","Fort McPherson","4",501,2,3.99201596806387,39.8853061239381,"0"
"82","Garden Hills","2",3939,127,32.2416857070322,39.8853061239381,"0"
"83","Georgia Tech","5",6607,1,0.15135462388376,39.8853061239381,"0"
